2026-01-22 07:55:03,369 | ERROR | app | Order 251207 FAILED at REQS_P4: PRINTED_FILM_MISMATCH: SO=251207 BASE=2300-ALP41-0012 Expected=16P4-2300-ALP41-0012 InvalidPrinted=['16P4-2300-ALP41-0015'] AllPrinted=['16P4-2300-ALP41-0015']
2026-01-22 07:55:03,411 | INFO | app | [FAIL EMAIL] Skipping duplicate failure email for SO 251207 (same signature).
2026-01-22 07:55:03,809 | INFO | job_p4 | Existing Plant4 job found for SO 251044: 907736
2026-01-22 07:55:03,850 | INFO | app | [FILM VALIDATION ✅] so=251044 base=2300-ALP41-0015 expected=16P4-2300-ALP41-0015 printed_found=['16P4-2300-ALP41-0015']
2026-01-22 07:55:04,223 | INFO | job_p4 | Existing Plant4 job found for SO 251043: 907737
2026-01-22 07:55:04,251 | INFO | app | [FILM VALIDATION ✅] so=251043 base=2300-ALP41-0016 expected=16P4-2300-ALP41-0016 printed_found=['16P4-2300-ALP41-0016']
2026-01-22 08:05:02,803 | INFO | app | [ENV] Workflow running in ENV=LIVE
2026-01-22 08:05:02,808 | INFO | app | [ARCHIVE] No COMPLETE orders eligible for archiving.
2026-01-22 08:05:02,808 | INFO | app | [MAINT] No run history eligible for purging.
2026-01-22 08:05:03,337 | INFO | job_p4 | Existing Plant4 job found for SO 250351: 907108
2026-01-22 08:05:03,405 | INFO | app | [Phase2B FETCH] so4=250351 job=907108 rows=1 groups=['P4-PF']
